PC Information
Computer Name, Operating System, Operating System Version, UI Culture, Time on PC
DBE0211NB, Microsoft Windows 10 Pro, 6.2.9200.0, English (United States), 10/21/2021 11:37:19 AM

Drive Information
Drive Letter, File Format, Free Space, Drive Type
C:, NTFS, 16083 MB, Fixed
D:, NTFS, 16083 MB, Fixed
E:, NTFS, 188648 MB, Fixed
F:, NA,NA,CDRom
G:, NTFS, 98760 MB, Fixed
I:, NTFS, 45295 MB, Network
S:, NTFS, 15322 MB, Network
Y:, NTFS, 35127 MB, Network

Memory Information
Total Phyical Memory, Total Virtual Memory, Available Phyical Memory, Available Virtual Memory 
8299 MB , 137438953MB , 1607 MB , 137434135MB 

